breed,breed_id,type_id
Abyssinian,0f5de5f3-4c81-4252-98e1-05eb38d9eb15,dc47c99b-8a16-4667-ab3f-ea339ece6697
Bengal,d7311d66-c62a-4d30-bb8f-3aae60dd207d,dc47c99b-8a16-4667-ab3f-ea339ece6697
Birman,d56c4887-d338-417f-b819-3543ee5906be,dc47c99b-8a16-4667-ab3f-ea339ece6697
British Shorthair,306885b3-2b93-482d-ac88-735b012acfd9,dc47c99b-8a16-4667-ab3f-ea339ece6697
Devon Rex,4326ae87-1753-4d1b-9743-7338187ae611,dc47c99b-8a16-4667-ab3f-ea339ece6697
Himalayan,dd13d120-8a6d-46d3-9ccd-ca01c1208b51,dc47c99b-8a16-4667-ab3f-ea339ece6697
Maine Coon,67caf719-6a1c-4822-b87f-10d497c70548,dc47c99b-8a16-4667-ab3f-ea339ece6697
Norwegian Forest Cat,27af15ad-733a-4bd6-881d-3e6968be44e8,dc47c99b-8a16-4667-ab3f-ea339ece6697
Oriental Shorthair,04c2400d-d6d2-4b05-b2a3-ce5385cf444f,dc47c99b-8a16-4667-ab3f-ea339ece6697
Persian,2770f83d-478b-491d-bb79-71ac79d4a920,dc47c99b-8a16-4667-ab3f-ea339ece6697
Ragdoll,4a8dbd1b-89be-4e93-a914-3c1cb3a4af0d,dc47c99b-8a16-4667-ab3f-ea339ece6697
Russian Blue,eb54b275-04fd-4545-bccc-f06ad68e60c1,dc47c99b-8a16-4667-ab3f-ea339ece6697
Scottish Fold,6c841531-0151-4d47-a3d8-57c9c3dd1448,dc47c99b-8a16-4667-ab3f-ea339ece6697
Siamese,433d6004-c694-44e1-9d4a-513a341dc6a9,dc47c99b-8a16-4667-ab3f-ea339ece6697
Sphynx,43b69617-bb3b-4660-9c3c-7ac39b5a5484,dc47c99b-8a16-4667-ab3f-ea339ece6697
Turkish Van,acc6929e-bb51-458c-8f51-c7180434257a,dc47c99b-8a16-4667-ab3f-ea339ece6697
Australian Shepherd,c0b17046-cba1-4927-a6cf-e97a9f8f73ec,eeccbbc8-d85d-43cb-b98a-7e8e03f389b7
Beagle,6d974b31-8d37-4813-9ea6-d04e24a7634a,eeccbbc8-d85d-43cb-b98a-7e8e03f389b7
Border Collie,e2b05c44-606c-416a-ba68-a896baadfb74,eeccbbc8-d85d-43cb-b98a-7e8e03f389b7
Boxer,6f52367b-0d5f-49d4-8ec0-38777e4c92a1,eeccbbc8-d85d-43cb-b98a-7e8e03f389b7
Bulldog,6d8bc93a-8c49-4828-b34a-ca501a34c67b,eeccbbc8-d85d-43cb-b98a-7e8e03f389b7
Chihuahua,63912480-21b8-4209-83b3-e9eff5f4ccff,eeccbbc8-d85d-43cb-b98a-7e8e03f389b7
Cocker Spaniel,fb17b928-223b-4549-8027-b4355c6fd8bd,eeccbbc8-d85d-43cb-b98a-7e8e03f389b7
Dachshund,9ad86cbd-8cdd-4987-a6ee-a96a6cbde307,eeccbbc8-d85d-43cb-b98a-7e8e03f389b7
Doberman,d367fc39-9ed9-4c6b-b922-6fa9a3d59d1d,eeccbbc8-d85d-43cb-b98a-7e8e03f389b7
German Shepherd,c7051977-4d8f-433c-933c-8e6ec592d991,eeccbbc8-d85d-43cb-b98a-7e8e03f389b7
Golden Retriever,e7d963d0-f431-4a68-af9a-6ca293262c2d,eeccbbc8-d85d-43cb-b98a-7e8e03f389b7
Great Dane,cfbe75fb-c5e4-4efc-a6d9-abb87151c122,eeccbbc8-d85d-43cb-b98a-7e8e03f389b7
Labrador Retriever,cd9becf9-b784-46fb-b5aa-4a3934d83b5d,eeccbbc8-d85d-43cb-b98a-7e8e03f389b7
Mastiff,9ba7fb10-962f-4d77-ba61-7e20940c388d,eeccbbc8-d85d-43cb-b98a-7e8e03f389b7
Pomeranian,6c0686e2-478b-4a48-96af-b628ea8dbbf2,eeccbbc8-d85d-43cb-b98a-7e8e03f389b7
Poodle,cc3167c2-f05f-4313-b05f-1e3fa1cc7a3a,eeccbbc8-d85d-43cb-b98a-7e8e03f389b7
Rottweiler,1f1c8ccb-5fc3-4357-a9fc-2a5eff4b400e,eeccbbc8-d85d-43cb-b98a-7e8e03f389b7
Shih Tzu,b3109073-1613-4a35-a49d-2214b6d494b0,eeccbbc8-d85d-43cb-b98a-7e8e03f389b7
Siberian Husky,711aca00-e4da-416d-807c-b5c25fcab1d2,eeccbbc8-d85d-43cb-b98a-7e8e03f389b7
Yorkshire Terrier,659204d9-557f-4cc3-88e4-ae7ae9f37f16,eeccbbc8-d85d-43cb-b98a-7e8e03f389b7
